_id,Ref_Date,Manner of Death,STATISTICS,Value
1,2013,Natural,Number of deaths of children and youth in Ontario without Society involvement,810
2,2013,Homicide,Number of deaths of children and youth in Ontario without Society involvement,12
3,2013,Accident,Number of deaths of children and youth in Ontario without Society involvement,83
4,2013,Undetermined,Number of deaths of children and youth in Ontario without Society involvement,43
5,2013,Suicide,Number of deaths of children and youth in Ontario without Society involvement,39
6,2013,Natural,Number of deaths of children and youth in Ontario with Society involvement,43
7,2013,Homicide,Number of deaths of children and youth in Ontario with Society involvement,4
8,2013,Accident,Number of deaths of children and youth in Ontario with Society involvement,15
9,2013,Undetermined,Number of deaths of children and youth in Ontario with Society involvement,27
10,2013,Suicide,Number of deaths of children and youth in Ontario with Society involvement,7
11,2014,Natural,Number of deaths of children and youth in Ontario without Society involvement,762
12,2014,Homicide,Number of deaths of children and youth in Ontario without Society involvement,11
13,2014,Accident,Number of deaths of children and youth in Ontario without Society involvement,73
14,2014,Undetermined,Number of deaths of children and youth in Ontario without Society involvement,20
15,2014,Suicide,Number of deaths of children and youth in Ontario without Society involvement,53
16,2014,Natural,Number of deaths of children and youth in Ontario with Society involvement,53
17,2014,Homicide,Number of deaths of children and youth in Ontario with Society involvement,9
18,2014,Accident,Number of deaths of children and youth in Ontario with Society involvement,10
19,2014,Undetermined,Number of deaths of children and youth in Ontario with Society involvement,24
20,2014,Suicide,Number of deaths of children and youth in Ontario with Society involvement,13
21,2015,Natural,Number of deaths of children and youth in Ontario without Society involvement,745
22,2015,Homicide,Number of deaths of children and youth in Ontario without Society involvement,10
23,2015,Accident,Number of deaths of children and youth in Ontario without Society involvement,96
24,2015,Undetermined,Number of deaths of children and youth in Ontario without Society involvement,37
25,2015,Suicide,Number of deaths of children and youth in Ontario without Society involvement,47
26,2015,Natural,Number of deaths of children and youth in Ontario with Society involvement,49
27,2015,Homicide,Number of deaths of children and youth in Ontario with Society involvement,5
28,2015,Accident,Number of deaths of children and youth in Ontario with Society involvement,7
29,2015,Undetermined,Number of deaths of children and youth in Ontario with Society involvement,22
30,2015,Suicide,Number of deaths of children and youth in Ontario with Society involvement,6
31,2016,Natural,Number of deaths of children and youth in Ontario without Society involvement,766
32,2016,Homicide,Number of deaths of children and youth in Ontario without Society involvement,15
33,2016,Accident,Number of deaths of children and youth in Ontario without Society involvement,77
34,2016,Undetermined,Number of deaths of children and youth in Ontario without Society involvement,52
35,2016,Suicide,Number of deaths of children and youth in Ontario without Society involvement,45
36,2016,Natural,Number of deaths of children and youth in Ontario with Society involvement,42
37,2016,Homicide,Number of deaths of children and youth in Ontario with Society involvement,3
38,2016,Accident,Number of deaths of children and youth in Ontario with Society involvement,21
39,2016,Undetermined,Number of deaths of children and youth in Ontario with Society involvement,23
40,2016,Suicide,Number of deaths of children and youth in Ontario with Society involvement,16
41,2017,Natural,Number of deaths of children and youth in Ontario without Society involvement,715
42,2017,Homicide,Number of deaths of children and youth in Ontario without Society involvement,10
43,2017,Accident,Number of deaths of children and youth in Ontario without Society involvement,100
44,2017,Undetermined,Number of deaths of children and youth in Ontario without Society involvement,44
45,2017,Suicide,Number of deaths of children and youth in Ontario without Society involvement,51
46,2017,Natural,Number of deaths of children and youth in Ontario with Society involvement,43
47,2017,Homicide,Number of deaths of children and youth in Ontario with Society involvement,4
48,2017,Accident,Number of deaths of children and youth in Ontario with Society involvement,25
49,2017,Undetermined,Number of deaths of children and youth in Ontario with Society involvement,29
50,2017,Suicide,Number of deaths of children and youth in Ontario with Society involvement,24
51,2018,Natural,Number of deaths of children and youth in Ontario without Society involvement,769
52,2018,Homicide,Number of deaths of children and youth in Ontario without Society involvement,16
53,2018,Accident,Number of deaths of children and youth in Ontario without Society involvement,86
54,2018,Undetermined,Number of deaths of children and youth in Ontario without Society involvement,47
55,2018,Suicide,Number of deaths of children and youth in Ontario without Society involvement,55
56,2018,Natural,Number of deaths of children and youth in Ontario with Society involvement,45
57,2018,Homicide,Number of deaths of children and youth in Ontario with Society involvement,6
58,2018,Accident,Number of deaths of children and youth in Ontario with Society involvement,18
59,2018,Undetermined,Number of deaths of children and youth in Ontario with Society involvement,33
60,2018,Suicide,Number of deaths of children and youth in Ontario with Society involvement,17